time,Pump_rate,base,time_2,diff
124,43667.11991,29853.90135,3.00,13813.21856
125,43667.11991,29853.90135,4.00,13813.21856
126,43667.11991,29853.90135,5.00,13813.21856
127,43667.11991,29853.90135,6.00,13813.21856
128,43667.11991,29853.90135,7.00,13813.21856
129,43667.11991,29853.90135,8.00,13813.21856
130,43667.11991,29853.90135,9.00,13813.21856
131,43667.11991,29853.90135,10.00,13813.21856
132,43667.11991,29853.90135,11.00,13813.21856
133,43667.11991,29853.90135,12.00,13813.21856
134,43667.11991,29853.90135,13.00,13813.21856
135,43667.11991,29853.90135,14.00,13813.21856
136,43667.11991,29853.90135,15.00,13813.21856
137,43667.11991,29853.90135,16.00,13813.21856
138,43667.11991,29853.90135,17.00,13813.21856
139,43667.11991,29853.90135,18.00,13813.21856
140,43667.11991,29853.90135,19.00,13813.21856
141,43667.11991,29853.90135,20.00,13813.21856
142,43667.11991,29853.90135,21.00,13813.21856
143,43667.11991,29853.90135,22.00,13813.21856
144,43667.11991,29853.90135,23.00,13813.21856
145,43667.11991,29853.90135,24.00,13813.21856
146,43667.11991,29853.90135,25.00,13813.21856
147,43667.11991,29853.90135,26.00,13813.21856
148,43667.11991,29853.90135,27.00,13813.21856
149,43667.11991,29853.90135,28.00,13813.21856
150,43667.11991,29853.90135,29.00,13813.21856
151,43667.11991,29853.90135,30.00,13813.21856
152,43667.11991,29853.90135,31.00,13813.21856
153,84092.287,43667.11991,1.00,40425.16709
154,84092.287,43667.11991,2.00,40425.16709
155,84092.287,43667.11991,3.00,40425.16709
156,84092.287,43667.11991,4.00,40425.16709
157,84092.287,43667.11991,5.00,40425.16709
158,84092.287,43667.11991,6.00,40425.16709
159,84092.287,43667.11991,7.00,40425.16709
160,84092.287,43667.11991,8.00,40425.16709
161,84092.287,43667.11991,9.00,40425.16709
162,84092.287,43667.11991,10.00,40425.16709
163,84092.287,43667.11991,11.00,40425.16709
164,84092.287,43667.11991,12.00,40425.16709
165,84092.287,43667.11991,13.00,40425.16709
166,84092.287,43667.11991,14.00,40425.16709
167,84092.287,43667.11991,15.00,40425.16709
168,84092.287,43667.11991,16.00,40425.16709
169,84092.287,43667.11991,17.00,40425.16709
170,84092.287,43667.11991,18.00,40425.16709
171,84092.287,43667.11991,19.00,40425.16709
172,84092.287,43667.11991,20.00,40425.16709
173,84092.287,43667.11991,21.00,40425.16709
174,84092.287,43667.11991,22.00,40425.16709
175,84092.287,43667.11991,23.00,40425.16709
176,84092.287,43667.11991,24.00,40425.16709
177,84092.287,43667.11991,25.00,40425.16709
178,84092.287,43667.11991,26.00,40425.16709
179,84092.287,43667.11991,27.00,40425.16709
180,84092.287,43667.11991,28.00,40425.16709
181,84092.287,43667.11991,29.00,40425.16709
182,84092.287,43667.11991,30.00,40425.16709
183,79394.76349,43667.11991,1.00,35727.64357
184,79394.76349,43667.11991,2.00,35727.64357
185,79394.76349,43667.11991,3.00,35727.64357
186,79394.76349,43667.11991,4.00,35727.64357
187,79394.76349,43667.11991,5.00,35727.64357
188,79394.76349,43667.11991,6.00,35727.64357
189,79394.76349,43667.11991,7.00,35727.64357
190,79394.76349,43667.11991,8.00,35727.64357
191,79394.76349,43667.11991,9.00,35727.64357
192,79394.76349,43667.11991,10.00,35727.64357
193,79394.76349,43667.11991,11.00,35727.64357
194,79394.76349,43667.11991,12.00,35727.64357
195,79394.76349,43667.11991,13.00,35727.64357
196,79394.76349,43667.11991,14.00,35727.64357
197,79394.76349,43667.11991,15.00,35727.64357
198,79394.76349,43667.11991,16.00,35727.64357
199,79394.76349,43667.11991,17.00,35727.64357
200,79394.76349,43667.11991,18.00,35727.64357
201,79394.76349,43667.11991,19.00,35727.64357
202,79394.76349,43667.11991,20.00,35727.64357
203,79394.76349,43667.11991,21.00,35727.64357
204,79394.76349,43667.11991,22.00,35727.64357
205,79394.76349,43667.11991,23.00,35727.64357
206,79394.76349,43667.11991,24.00,35727.64357
207,79394.76349,43667.11991,25.00,35727.64357
208,79394.76349,43667.11991,26.00,35727.64357
209,79394.76349,43667.11991,27.00,35727.64357
210,79394.76349,43667.11991,28.00,35727.64357
211,79394.76349,43667.11991,29.00,35727.64357
212,79394.76349,43667.11991,30.00,35727.64357
213,79394.76349,43667.11991,31.00,35727.64357
214,76748.27137,43667.11991,1.00,33081.15146
215,76748.27137,43667.11991,2.00,33081.15146
